numWins,teamNumber,nameShort,city,stateProv,country,homeCMP,year,region
2,5089,Robo-Nerds,Los Angeles,California,USA,CMPTX,2022,West
2,5090,TorqueNados,Trenton,Michigan,USA,CMPTX,2022,Midwest
3,5098,STING - R,Kansas City,Missouri,USA,CMPTX,2022,Midwest
1,5109,Gladiator Robotics,Johns Creek,Georgia,USA,CMPTX,2022,South
1,5110,Robo Herd,Elk Rapids,Michigan,USA,CMPTX,2022,Midwest
1,5112,The Gongoliers,Foster and Glocester ,Rhode Island,USA,CMPTX,2022,Northeast
1,5113,Combustible Lemons,Moorestown,New Jersey,USA,CMPTX,2022,Northeast
4,5114,Titanium Tigers 5114,Fenton,Michigan,USA,CMPTX,2022,Midwest
3,5115,Knight Riders,Silver Spring,Maryland,USA,CMPTX,2022,Northeast
1,5122,robOTies,Old Town,Maine,USA,CMPMI,2018,Northeast
1,5123,Mechadogs,Yonkers,New York,USA,CMPTX,2022,Northeast
2,5124,West Torrance Robotics,Torrance,California,USA,CMPTX,2022,West
1,5125,Hawks on the Horizon,Chicago,Illinois,USA,CMPTX,2022,Midwest
1,5126,Electromagnetic Panthers (E.M.P.),Riverside,Missouri,USA,CMPTX,2022,Midwest
2,5129,Digital Devils,Plainville,Connecticut,USA,CMPMI,2018,Northeast
1,5136,MechaPirates,Santa Ynez,California,USA,CMPTX,2022,West
3,5150,Hybrid Hornets,Flint,Michigan,USA,CMPTX,2022,Midwest
1,5152,Alotobots,Otsego,Michigan,USA,CMPTX,2022,Midwest
1,5155,Bearcats,Ubly,Michigan,USA,CMPTX,2022,Midwest
1,5160,Chargers,Cary,North Carolina,USA,CMPTX,2022,South
3,5166,Fabricators,Freeland,Michigan,USA,CMPTX,2022,Midwest
8,5172,Gators,Greenbush,Minnesota,USA,CMPTX,2022,Midwest
1,5173,Fennville RoboHawks,Fennville,Michigan,USA,CMPTX,2022,Midwest
2,5188,Area 5188 : Classified Robotics,Terre Haute,Indiana,USA,CMPTX,2022,Midwest
4,5190,Green Hope Falcons,Cary,North Carolina,USA,CMPTX,2022,South
1,5193,Pantheon,Saginaw,Michigan,USA,CMPTX,2022,Midwest
1,5197,DCP @ NW,Detroit,Michigan,USA,CMPTX,2022,Midwest
1,5198,Knight Tech,Grants Pass,Oregon,USA,CMPTX,2022,West
5,5199,Robot Dolphins From Outer Space,San Juan Capistrano,California,USA,CMPTX,2022,West
